"year","team","conference","wins","losses","ties","win_percentage","points_for","points_against","point_differential","home_win_pct","road_win_pct","division_win_pct","conference_win_pct","won_superbowl","superbowl_opponent","superbowl_score","current_streak","strong_finish","average_points_for","average_points_against"
2019,"Baltimore Ravens","AFC",14,2,0,1,0,531,-531,1,0.875,0.875,0.8333333333333334,0,"","","10 - 2 - 0",0,0,33.1875
2019,"New England Patriots","AFC",12,4,0,3,0,420,-420,1,0.75,0.75,0.8333333333333334,0,"","","8 - 4 - 0",0,0,26.25
2019,"Kansas City Chiefs","AFC",12,4,0,2,0,451,-451,1,0.625,0.875,1,1,"San Francisco 49ers","31–20","9 - 3 - 0",0,0,28.1875
2019,"Buffalo Bills","AFC",10,6,0,5,0,314,-314,1,0.5,0.75,0.5,0,"","","7 - 5 - 0",0,0,19.625
2019,"Pittsburgh Steelers","AFC",8,8,0,7,0,289,-289,0,0.625,0.375,0.5,0,"","","6 - 6 - 0",0,0,18.0625
2019,"Miami Dolphins","AFC",5,11,0,15,0,306,-306,0,0.375,0.25,0.3333333333333333,0,"","","4 - 8 - 0",0,0,19.125
2019,"Cincinnati Bengals","AFC",2,14,0,16,0,279,-279,0,0.25,0,0.16666666666666666,0,"","","2 - 10 - 0",0,0,17.4375
2019,"Green Bay Packers","NFC",13,3,0,2,0,376,-376,1,0.875,0.75,1,0,"","","10 - 2 - 0",0,0,23.5
2019,"San Francisco 49ers","NFC",13,3,0,1,0,479,-479,1,0.75,0.875,0.8333333333333334,0,"","","10 - 2 - 0",0,0,29.9375
2019,"Philadelphia Eagles","NFC",9,7,0,4,0,385,-385,1,0.625,0.5,0.8333333333333334,0,"","","7 - 5 - 0",0,0,24.0625
2019,"Dallas Cowboys","NFC",8,8,0,9,0,434,-434,1,0.625,0.375,0.8333333333333334,0,"","","7 - 5 - 0",0,0,27.125
2020,"Kansas City Chiefs","AFC",14,2,0,1,0,473,-473,1,0.75,1,0.6666666666666666,0,"","","10 - 2 - 0",0,0,29.5625
2020,"Buffalo Bills","AFC",13,3,0,2,0,501,-501,1,0.875,0.75,1,0,"","","10 - 2 - 0",0,0,31.3125
2020,"Pittsburgh Steelers","AFC",12,4,0,3,0,416,-416,1,0.875,0.625,0.6666666666666666,0,"","","9 - 3 - 0",0,0,26
2020,"Baltimore Ravens","AFC",11,5,0,5,0,468,-468,1,0.625,0.75,0.6666666666666666,0,"","","7 - 5 - 0",0,0,29.25
2020,"Miami Dolphins","AFC",10,6,0,8,0,404,-404,1,0.625,0.625,0.5,0,"","","7 - 5 - 0",0,0,25.25
2020,"New England Patriots","AFC",7,9,0,10,0,326,-326,0,0.625,0.25,0.5,0,"","","6 - 6 - 0",0,0,20.375
